Actual,Predicted
[0.6899999976158142],[0.710311770439148]
[0.6977311968803406],[0.5356864929199219]
[0.5624467134475708],[0.22626405954360962]
[0.7799999713897705],[0.6193937063217163]
[0.3199999928474426],[0.6193937063217163]
[0.800000011920929],[0.710311770439148]
[1.0],[0.4108004868030548]
[1.0],[0.6193937063217163]
[-0.025146936997771263],[0.07899376004934311]
[0.9488150477409363],[0.4591331481933594]
[0.15544858574867249],[0.19927483797073364]
[0.05000000074505806],[0.710311770439148]
[0.4637981951236725],[0.19934093952178955]
[0.7544668912887573],[0.5828317403793335]
[0.5400000214576721],[0.6193937063217163]
[-0.08666369318962097],[0.5807932019233704]
[0.5929137468338013],[0.4591331481933594]
[0.999901533126831],[0.4591331481933594]
[0.3336741328239441],[0.1653553545475006]
[-0.008184295147657394],[0.5818983316421509]
[0.9843652248382568],[0.4591331481933594]
[0.30000001192092896],[0.710311770439148]
[0.8534194231033325],[0.5818983316421509]
[0.9399999976158142],[0.7125584483146667]
[-0.02985641546547413],[0.5857352614402771]
[0.5400000214576721],[0.7125584483146667]
[0.1030028834939003],[0.24136561155319214]
[0.7699999809265137],[0.7125584483146667]
[0.2591930627822876],[0.4148373603820801]
[0.010326818563044071],[0.22600746154785156]
[0.20891445875167847],[0.19934093952178955]
[0.16332010924816132],[0.1990673840045929]
[0.5299999713897705],[0.7125584483146667]
[-0.024861926212906837],[0.330666720867157]
[0.9806046485900879],[0.6538420915603638]
[0.055367160588502884],[0.24136561155319214]
[1.0],[0.710311770439148]
[0.17000000178813934],[0.7125584483146667]
[0.7900000214576721],[0.7125584483146667]
[0.0036001410335302353],[0.20496749877929688]
[0.4099999964237213],[0.6193937063217163]
[0.06646201759576797],[0.22174769639968872]
[0.9100000262260437],[0.710311770439148]
[0.7799999713897705],[0.710311770439148]
[0.06599238514900208],[0.253811776638031]
[0.18807145953178406],[0.6538420915603638]
[0.17175188660621643],[0.4148373603820801]
[0.43164971470832825],[0.6538420915603638]
[1.0],[0.7125584483146667]
[0.8380194306373596],[0.19827991724014282]
[0.9399999976158142],[0.7125584483146667]
[0.7799999713897705],[0.6193937063217163]
[0.3499999940395355],[0.6193937063217163]
[0.02829919569194317],[0.44603145122528076]
[0.9599999785423279],[0.6193937063217163]
[0.5899999737739563],[0.710311770439148]
[0.2884887754917145],[0.4148373603820801]
[0.8999999761581421],[0.710311770439148]
[-0.0702994093298912],[0.24314406514167786]
[0.4601125419139862],[0.5828931927680969]
[0.38999998569488525],[0.710311770439148]
[0.3499999940395355],[0.7125584483146667]
[0.47031375765800476],[0.5814944505691528]
[0.13892388343811035],[0.19934093952178955]
[0.4742918014526367],[0.5818983316421509]
[-0.03218318149447441],[0.23377618193626404]
[0.20999999344348907],[0.710311770439148]
[0.43808379769325256],[0.5356864929199219]
[0.872578501701355],[0.24314406514167786]
[0.5799999833106995],[0.7125584483146667]
[0.2827998101711273],[0.19927483797073364]
[0.25],[0.6193937063217163]
[-0.14139831066131592],[0.23377618193626404]
[0.5201812386512756],[0.4591331481933594]
[0.6687905192375183],[0.6255704164505005]
[0.4006173610687256],[0.44603145122528076]
[0.8833088874816895],[0.6538420915603638]
[-0.015724996104836464],[0.5818983316421509]
[0.8899999856948853],[0.710311770439148]
[-0.003771544899791479],[0.19927483797073364]
[0.49000000953674316],[0.6193937063217163]
[0.07715131342411041],[0.24314406514167786]
[0.5799999833106995],[0.7125584483146667]
[0.8799999952316284],[0.710311770439148]
[0.7987446188926697],[0.19827991724014282]
[0.9399999976158142],[0.7125584483146667]
[0.3500114977359772],[0.19827991724014282]
[0.49000000953674316],[0.7125584483146667]
[0.07999999821186066],[0.6193937063217163]
[0.36000001430511475],[0.710311770439148]
[0.9806767106056213],[0.5828317403793335]
[-0.08777031302452087],[0.17851179838180542]
[0.8899999856948853],[0.710311770439148]
[0.6200000047683716],[0.7125584483146667]
[0.17561465501785278],[0.20496749877929688]
[0.9968556761741638],[0.6538420915603638]
[1.0],[0.710311770439148]
[0.5899999737739563],[0.6193937063217163]
[0.8925148844718933],[0.23377618193626404]
[0.9599999785423279],[0.7125584483146667]
[0.2079668939113617],[0.1990673840045929]
[0.9346113204956055],[0.6538420915603638]
[0.808178186416626],[0.6255704164505005]
[0.9291612505912781],[0.19934093952178955]
[0.5290086269378662],[0.2290370762348175]
[0.3100000023841858],[0.710311770439148]
[0.3356037139892578],[0.24314406514167786]
[0.25999999046325684],[0.7125584483146667]
[0.4399999976158142],[0.7125584483146667]
[0.5440428256988525],[0.6538420915603638]
[0.41999998688697815],[0.710311770439148]
[0.3400000035762787],[0.6193937063217163]
[0.550000011920929],[0.710311770439148]
[0.8954938650131226],[0.5814944505691528]
[0.9353913068771362],[0.5814944505691528]
[0.8658870458602905],[0.24078238010406494]
[0.4399999976158142],[0.7125584483146667]
[0.8738670945167542],[0.6255704164505005]
[0.010647628456354141],[0.3822733759880066]
[-0.050105247646570206],[0.22626405954360962]
[0.4006859362125397],[0.5828931927680969]
[0.9700000286102295],[0.6193937063217163]
[0.18000000715255737],[0.710311770439148]
[0.05381355807185173],[0.19910311698913574]
[0.5473114848136902],[0.5828317403793335]
[0.2925211191177368],[0.3822733759880066]
[0.75],[0.7125584483146667]
[0.7317274212837219],[0.6193937063217163]
[0.6031296253204346],[0.4591331481933594]
[0.39652591943740845],[0.19934093952178955]
[0.025755595415830612],[0.20496749877929688]
[0.2583875060081482],[0.44603145122528076]
[0.6700000166893005],[0.7125584483146667]
[0.15032051503658295],[0.19927826523780823]
[0.17000000178813934],[0.7125584483146667]
[0.9782158136367798],[0.6255704164505005]
[0.050310056656599045],[0.44603145122528076]
[1.0],[0.7125584483146667]
[0.5],[0.710311770439148]
[0.914311945438385],[0.253811776638031]
[0.8421188592910767],[0.6538420915603638]
[0.05904792621731758],[0.3822733759880066]
[0.37743672728538513],[0.23377618193626404]
[1.0],[0.4108004868030548]
[0.19473490118980408],[0.19934093952178955]
[0.3854949176311493],[0.4148373603820801]
[0.7996941804885864],[0.19934093952178955]
[1.0],[0.6193937063217163]
[0.33099639415740967],[0.4591331481933594]
[0.6208953857421875],[0.20496749877929688]
[-0.03005903959274292],[0.5807932019233704]
[0.6800000071525574],[0.710311770439148]
[0.6943548321723938],[0.5356864929199219]
[0.07999999821186066],[0.710311770439148]
[0.4817247986793518],[0.34963589906692505]
[0.218984916806221],[0.22174769639968872]
[0.07981621474027634],[0.19827991724014282]
[0.9900000095367432],[0.6193937063217163]
[0.6899999976158142],[0.7125584483146667]
[0.18411347270011902],[0.4108004868030548]
[0.7300000190734863],[0.6193937063217163]
[0.07638610154390335],[0.1990673840045929]
[0.36404991149902344],[0.07899376004934311]
[-0.009999999776482582],[0.710311770439148]
[0.5400000214576721],[0.7125584483146667]
[0.3499999940395355],[0.7125584483146667]
[0.14730963110923767],[0.21599751710891724]
[0.9100000262260437],[0.7125584483146667]
[0.1168454959988594],[0.19927826523780823]
[0.5400000214576721],[0.710311770439148]
[0.7254258990287781],[0.5599658489227295]
[-0.03706774488091469],[0.19934093952178955]
[0.6899999976158142],[0.6193937063217163]
[0.8899999856948853],[0.7125584483146667]
[0.16121578216552734],[0.19934093952178955]
[0.9900000095367432],[0.7125584483146667]
[0.9800000190734863],[0.710311770439148]
[0.015976540744304657],[0.37562161684036255]
[0.9100000262260437],[0.710311770439148]
[0.7599999904632568],[0.7125584483146667]
[0.45253369212150574],[0.4591331481933594]
[0.7099999785423279],[0.710311770439148]
[0.9800000190734863],[0.7125584483146667]
[0.7718881368637085],[0.4591331481933594]
[0.7799999713897705],[0.710311770439148]
[0.14000000059604645],[0.6193937063217163]
[0.2108934372663498],[0.1653553545475006]
[0.3713987469673157],[0.2290370762348175]
[0.5236676931381226],[0.5814944505691528]
[0.5600000023841858],[0.710311770439148]
[0.5029920339584351],[0.5814944505691528]
[0.6399999856948853],[0.7125584483146667]
[0.5646911263465881],[0.44603145122528076]
[0.07579398155212402],[0.19927483797073364]
[0.9900000095367432],[0.7125584483146667]
[0.6882245540618896],[0.6255704164505005]
[-0.1405399590730667],[0.1988506317138672]
[0.5799999833106995],[0.710311770439148]
[0.07999999821186066],[0.6193937063217163]
[0.21959339082241058],[0.22626405954360962]
[-0.03217196464538574],[0.37562161684036255]
[0.8867905735969543],[0.4591331481933594]
[0.5329425930976868],[0.5857352614402771]
[-0.10819672793149948],[0.17851179838180542]
[0.35235482454299927],[0.24314406514167786]
[0.3199999928474426],[0.710311770439148]
[1.0],[0.6193937063217163]
[0.6493502259254456],[0.6255704164505005]
[-0.0026023590471595526],[0.37562161684036255]
[0.06444882601499557],[0.19934093952178955]
[0.20001675188541412],[0.6193937063217163]
[0.36000001430511475],[0.710311770439148]
[0.05999999865889549],[0.710311770439148]
[0.2267557978630066],[0.6538420915603638]
[0.6000000238418579],[0.7125584483146667]
[1.0],[0.710311770439148]
[0.75],[0.6193937063217163]
[0.42389142513275146],[0.253811776638031]
[0.9399999976158142],[0.7125584483146667]
[0.0012944230111315846],[0.19934093952178955]
[-0.11821423470973969],[0.22626405954360962]
[0.31106406450271606],[0.37562161684036255]
[0.02773474156856537],[0.21599751710891724]
[1.0],[0.710311770439148]
[0.46000000834465027],[0.7125584483146667]
[-0.14258792996406555],[0.23377618193626404]
[0.9256309866905212],[0.6538420915603638]
[0.7099999785423279],[0.710311770439148]
[0.9700000286102295],[0.6193937063217163]
[0.38209864497184753],[0.5828317403793335]
[0.3400000035762787],[0.6193937063217163]
[-0.003420524997636676],[0.37562161684036255]
[0.24824507534503937],[0.4591331481933594]
[0.7699999809265137],[0.710311770439148]
[0.6199320554733276],[0.19934093952178955]
[0.9100000262260437],[0.6193937063217163]
[0.05753907561302185],[0.19927826523780823]
[0.22881747782230377],[0.19934093952178955]
[0.9599999785423279],[0.7125584483146667]
[0.7699999809265137],[0.7125584483146667]
[0.2086661458015442],[0.22174769639968872]
[0.800000011920929],[0.6193937063217163]
[0.0406217984855175],[0.22174769639968872]
[1.0],[0.6193937063217163]
[-0.021140215918421745],[0.19927483797073364]
[-0.1338731199502945],[0.253811776638031]
[0.07000000029802322],[0.7125584483146667]
[0.6674891114234924],[0.5814944505691528]
[-0.08751265704631805],[0.24078238010406494]
[0.8899999856948853],[0.7125584483146667]
[0.17000000178813934],[0.6193937063217163]
[0.1876266598701477],[0.19934093952178955]
[0.7900000214576721],[0.7125584483146667]
[0.06296881288290024],[0.1988506317138672]
[-0.11497853696346283],[0.253811776638031]
[0.022422222420573235],[0.34963589906692505]
[0.8399999737739563],[0.7125584483146667]
[0.18455561995506287],[0.19934093952178955]
[0.8263386487960815],[0.5828931927680969]
[0.20000000298023224],[0.6193937063217163]
[0.3700000047683716],[0.710311770439148]
[0.46000000834465027],[0.6193937063217163]
[0.9300000071525574],[0.7125584483146667]
[0.8600000143051147],[0.710311770439148]
[0.1984170526266098],[0.6538420915603638]
[0.7200000286102295],[0.6193937063217163]
[0.39519307017326355],[0.2290370762348175]
[1.0],[0.710311770439148]
[-0.04412400722503662],[0.19927483797073364]
[0.8999999761581421],[0.710311770439148]
[0.41999998688697815],[0.6193937063217163]
[0.1899999976158142],[0.710311770439148]
[0.9622666835784912],[0.37562161684036255]
[0.02348981238901615],[0.1988506317138672]
[0.1899999976158142],[0.710311770439148]
[0.8678978085517883],[0.19934093952178955]
[-0.042864106595516205],[0.21599751710891724]
[-0.06890005618333817],[0.22174769639968872]
